4470015753 9689 2 24000000
4470015766 0 0 0
4470015779 0 0 0
4470015792 0 0 0
4470015805 0 0 0
4470015818 0 0 0
4470015831 0 0 0
4470015844 0 0 0
4470015857 0 0 0
4470015870 0 0 0
4470015883 0 0 0
4470015896 0 0 0
4470015909 0 0 0
4470015922 0 0 0
4470015935 0 0 0
4470015948 0 0 0
4470015961 0 0 0
4470015974 0 0 0
4470015987 0 0 0
4470016000 7424 0 16000000
4470016013 0 0 0
4470016026 0 0 0
4470016039 0 0 0
4470016052 0 0 0
4470016065 0 0 0
4470016078 0 0 0
4470016091 0 0 0
4470016104 0 0 0
4470016117 0 0 0
4470016130 0 0 0
4470016143 0 0 0
4470016156 0 0 0
4470016169 0 0 0
4470016182 0 0 0
4470016195 0 0 0
4470016208 0 0 0
4470016221 0 0 0
4470016234 0 0 0
4470016247 0 0 0
4470016260 6047 0 16000000
4470016273 0 0 0
4470016286 0 0 0
4470016299 0 0 0
4470016312 0 0 0
4470016325 0 0 0
4470016338 0 0 0
4470016351 0 0 0
4470016364 0 0 0
4470016377 0 0 0
4470016390 0 0 0
4470016403 0 0 0
4470016416 0 0 0
4470016429 0 0 0
4470016442 0 0 0
4470016455 0 0 0
4470016468 0 0 0
4470016481 0 0 0
4470016494 0 0 0
4470016507 5055 0 12000000
4470016520 0 0 0
4470016533 0 0 0
4470016546 0 0 0
4470016559 0 0 0
4470016572 0 0 0
4470016585 0 0 0
4470016598 0 0 0
4470016611 0 0 0
4470016624 0 0 0
4470016637 0 0 0
4470016650 0 0 0
4470016663 0 0 0
4470016676 0 0 0
4470016689 0 0 0
4470016702 0 0 0
4470016715 0 0 0
4470016728 0 0 0
4470016741 0 0 0
4470016754 0 0 0
4470016767 4100 0 8000000
4470016780 0 0 0
4470016793 0 0 0
4470016806 0 0 0
4470016819 0 0 0
4470016832 0 0 0
4470016845 0 0 0
4470016858 0 0 0
4470016871 0 0 0
4470016884 0 0 0
4470016897 0 0 0
4470016910 0 0 0
4470016923 0 0 0
4470016936 0 0 0
4470016949 0 0 0
4470016962 0 0 0
4470016975 0 0 0
4470016988 0 0 0
4470017001 0 0 0
4470017014 3438 0 8000000
4470017027 0 0 0
4470017040 0 0 0
4470017053 0 0 0
4470017066 0 0 0
4470017079 0 0 0
4470017092 0 0 0
4470017105 0 0 0
4470017118 0 0 0
4470017131 0 0 0
4470017144 0 0 0
4470017157 0 0 0
4470017170 0 0 0
4470017183 0 0 0
4470017196 0 0 0
4470017209 0 0 0
4470017222 0 0 0
4470017235 0 0 0
4470017248 0 0 0
4470017261 266 0 4000000
4470017274 2541 0 4000000
4470017287 0 0 0
4470017300 0 0 0
4470017313 0 0 0
4470017326 0 0 0
4470017339 0 0 0
4470017352 0 0 0
4470017365 0 0 0
4470017378 0 0 0
4470017391 0 0 0
